Strategy,Total Return %,Win Rate %,Total Trades,Profitable Trades,Avg Win $,Avg Loss $,Profit Factor,Max Drawdown %,Sharpe Ratio,Final Equity $
Composite,-3.604831199999855,17.857142857142858,28,5,158.80219999999787,-191.2540086956453,0.18050454276355216,3.625722799999872,-2.524954660678323,96395.16880000014
XGBoost,2.1708362000006307,47.95918367346938,98,47,160.72573617021692,-105.55438039214845,1.4032557959996603,1.617522531740165,0.8920946571770352,102170.83620000063
Random Forest,1.9337550000004848,52.63157894736842,95,50,151.19331200000224,-125.02023555554737,1.343723023256112,1.3992199904309914,0.7767793481318429,101933.75500000048
