DateTime,Composite_Equity,XGBoost_Equity,RandomForest_Equity,Initial_Balance
2023-01-03 01:00:00,100000.0,100000.0,100000.0,100000
2023-01-03 02:00:00,100000.0,99903.13120000002,100000.0,100000
2023-01-03 03:00:00,100000.0,99903.13120000002,100000.0,100000
2023-01-03 04:00:00,100000.0,99824.25880000001,99921.12759999999,100000
2023-01-03 05:00:00,100000.0,99824.25880000001,99921.12759999999,100000
2023-01-03 06:00:00,100000.0,99824.25880000001,99921.12759999999,100000
2023-01-03 07:00:00,100000.0,99824.25880000001,99921.12759999999,100000
2023-01-03 08:00:00,100000.0,99824.25880000001,99921.12759999999,100000
2023-01-03 09:00:00,100000.0,99786.3946,99883.26339999998,100000
2023-01-03 10:00:00,99840.1186,99777.52460000002,99874.39339999999,100000
2023-01-03 11:00:00,99840.1186,99777.52460000002,99874.39339999999,100000
2023-01-03 12:00:00,99840.1186,99777.52460000002,99874.39339999999,100000
2023-01-03 13:00:00,99724.2512,99777.52460000002,99874.39339999999,100000
2023-01-03 14:00:00,99724.2512,99777.52460000002,99874.39339999999,100000
2023-01-03 15:00:00,99724.2512,99744.64180000003,99841.51060000001,100000
2023-01-03 16:00:00,99724.2512,99620.74080000003,99841.51060000001,100000
2023-01-03 17:00:00,99724.2512,99610.81700000002,99841.51060000001,100000
2023-01-03 18:00:00,99724.2512,99588.89080000002,99819.5844,100000
2023-01-03 19:00:00,99724.2512,99588.89080000002,99819.5844,100000
2023-01-03 20:00:00,99724.2512,99588.89080000002,99819.5844,100000
2023-01-03 21:00:00,99724.2512,99588.89080000002,99819.5844,100000
2023-01-03 22:00:00,99724.2512,99496.97860000003,99727.67220000003,100000
2023-01-03 23:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 00:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 01:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 02:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 03:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 04:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 05:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 06:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 07:00:00,99724.2512,99400.06540000005,99630.75900000003,100000
2023-01-04 08:00:00,99724.2512,99512.11040000003,99742.80400000002,100000
2023-01-04 09:00:00,99724.2512,99395.10960000001,99625.80320000001,100000
2023-01-04 10:00:00,99724.2512,99225.11940000001,99455.81300000001,100000
2023-01-04 11:00:00,99724.2512,99225.11940000001,99455.81300000001,100000
2023-01-04 12:00:00,99724.2512,99098.08460000005,99328.77820000004,100000
2023-01-04 13:00:00,99724.2512,99138.08320000005,99368.77680000005,100000
2023-01-04 14:00:00,99724.2512,99206.07620000005,99436.76980000004,100000
2023-01-04 15:00:00,99724.2512,99206.07620000005,99436.76980000004,100000
2023-01-04 16:00:00,99724.2512,99206.07620000005,99316.72520000003,100000
2023-01-04 17:00:00,99724.2512,99206.07620000005,99316.72520000003,100000
2023-01-04 18:00:00,99724.2512,99206.07620000005,99316.72520000003,100000
2023-01-04 19:00:00,99435.24320000001,99269.06820000005,99334.72620000005,100000
2023-01-04 20:00:00,99435.24320000001,99074.11180000007,99334.72620000005,100000
2023-01-04 21:00:00,99435.24320000001,99074.11180000007,99334.72620000005,100000
2023-01-04 22:00:00,99435.24320000001,99074.11180000007,99334.72620000005,100000
2023-01-04 23:00:00,99435.24320000001,99272.23400000008,99532.84840000006,100000
2023-01-05 00:00:00,99435.24320000001,99272.23400000008,99532.84840000006,100000
2023-01-05 01:00:00,99435.24320000001,99272.23400000008,99532.84840000006,100000
