Strategy,Daily Return Mean,Daily Return Std,Skewness,Kurtosis,VaR 95%,CVaR 95%,Max Daily Return %,Min Daily Return %
Composite,-8.145256481692349e-05,0.0005120960788168477,-3.5764655150858684,23.529065215714127,-7.657335321920302e-05,-0.0019488911648366572,0.29176502759309386,-0.37291941577022314
XGBoost,4.8090498081209254e-05,0.0008557533485341264,2.9718830961140648,24.79886970485873,-0.0009716269730296544,-0.0018068335426144804,0.8030306255804032,-0.33802025508631317
Random Forest,4.2946795714828844e-05,0.0008776742688265628,2.3270060467171807,23.482779099766432,-0.0009646635584456328,-0.001960806727158829,0.8023174081182471,-0.473056644316483
